station_id,name,lat,lon,distance_from_source,drainage_area,z_null
03019,КИРЕНСК - Р.ЛЕНА,57.77,108.07,1140.0,92200,249.38
03021,ЗМЕИНОВО - Р.ЛЕНА,57.78,108.32,1157.0,140000,245.25
03024,ВИЗИРНЫЙ - Р.ЛЕНА,58.88,111.25,1456.0,176000,194.21
03027,ВИТИМ (ГП ПРИ ВИТИМ АЭ) - Р.ЛЕНА,59.45,112.58333333333333,1575.0,199000,175.51
03028,ПЕЛЕДУЙ - Р.ЛЕНА,59.65,112.8,1601.0,425000,171.3
03029,КРЕСТОВСКОЕ - Р.ЛЕНА,59.73,113.17,1639.0,440000,166.2
03030,ЛЕНСК - Р.ЛЕНА,60.72,114.88,1786.0,450000,152.47
03031,НЮЯ (ГП ПРИ НЮЯ МП) - Р.ЛЕНА,60.53,116.23,1870.0,453000,147.21
03032,МАЧА (ГП ПРИ МАЧА М) - Р.ЛЕНА,59.93,117.6,1981.0,538000,138.9
03035,ОЛЕКМИНСК - Р. ЛЕНА,60.36666666666667,120.41666666666667,2191.0,560000,122.72
03036,СОЛЯНКА - Р.ЛЕНА,60.48,120.7,2216.0,770000,119.42
03037,ХАТЫНГ-ТУМУЛ - Р.ЛЕНА,60.58,122.88,2343.0,798000,112.87
03038,САНЫЯХТАТ - Р.ЛЕНА,60.58,124.06,2409.0,812000,105.78
03041,ПОКРОВСК - Р.ЛЕНА,61.47,129.17,2720.0,892000,88.91
03042,ТАБАГА - Р.ЛЕНА,61.83,129.6,2767.0,897000,84.87
03045,ЯКУТСК - Р.ЛЕНА,62.01370819444445,129.66808830555556,2803.0,904000,85.2
03047,КАНГАЛАССЫ - Р.ЛЕНА,62.37,130.02,2837.0,912000,80.5
03048,НАМЦЫ - Р.ЛЕНА,62.78,129.7,2891.0,919000,75.45
03050,САНГАРЫ - Р.ЛЕНА,63.96,127.41,3117.0,1680000,57.28
03087,ШОРОХОВА - Р.КИРЕНГА,57.63,108.11,728.0,46500,254.24
03106,БОДАЙБО - Р.BИТИМ,57.82,114.17,1543.0,186000,235.03
03169,КУДУ-КЮЕЛЬ - Р.ОЛЕКМА,59.37,121.32,1280.0,115000,135.01
03180,ТОККО - Р.ЧАРА,60.0,119.88,730.0,62500,143.8
03229,ВЕРХОЯНСКИЙ ПЕРЕВОЗ (ГП ПРИ ВЕРХ.ПЕР. М) - Р.АЛДАН,63.31,132.01,2122.0,696000,74.1
03230,БАТАМАЙ (ГП ПРИ БАТАМАЙ М) - Р.АЛДАН,63.516666666666666,129.48333333333332,2272.0,729000,66.48
03554,ЧУЯ - Р.ЧУЯ,59.26,112.41,509.9,18400,179.0
03555,МАМА - Р.BИТИМ,58.31,112.86,1668.0,220000,202.51
